met,altitude_km,velocity_ms,dynamic_pressure_kpa,thrust_kn,pitch_deg,booster_active,booster_alt_km,booster_vel_ms,booster_thrust_kn
0.0,0.24,0.0,0.0,161.8,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,183.1,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,194.3,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,206.8,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,213.5,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,221.6,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,226.9,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,229.2,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,232.8,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,234.3,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,235.8,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,236.0,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,236.9,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,237.7,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,238.6,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,239.8,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,240.0,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,239.6,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,239.6,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,239.8,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,240.0,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,240.4,90.0,0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,239.6,90.0,0,0.0,0.0,0.0
0.0,0.241,0.34,0.0,240.0,90.0,0,0.0,0.0,0.0
0.0,0.241,0.86,0.0,239.7,89.98,0,0.0,0.0,0.0
0.0,0.241,1.2,0.0,240.3,90.0,0,0.0,0.0,0.0
0.0,0.241,1.55,0.0,240.0,90.0,0,0.0,0.0,0.0
0.0,0.241,2.06,0.0,239.9,90.0,0,0.0,0.0,0.0
